ticker,year,date,close,moving_average_50,moving_average_200,trend
TSLA,2021,2021-07-22,218.81333923339844,209.32,213.98,Bearish
TSLA,2021,2021-07-23,215.45333862304688,209.61,214.36,Bearish
TSLA,2021,2021-07-26,216.9900054931641,209.94,214.74,Bearish
TSLA,2021,2021-07-27,221.13333129882807,210.48,215.12,Bearish
TSLA,2021,2021-07-28,215.6666717529297,210.95,215.48,Bearish
TSLA,2021,2021-07-29,216.5966644287109,211.50,215.82,Bearish
TSLA,2021,2021-07-30,223.9199981689453,212.29,216.20,Bearish
TSLA,2021,2021-08-02,233.3333282470703,213.13,216.62,Bearish
TSLA,2021,2021-08-03,239.6666717529297,213.95,217.07,Bearish
TSLA,2021,2021-08-04,237.0,214.81,217.50,Bearish
TSLA,2021,2021-08-05,238.6666717529297,215.53,217.95,Bearish
TSLA,2021,2021-08-06,237.3000030517578,216.23,218.41,Bearish
TSLA,2021,2021-08-09,236.72332763671875,216.83,218.89,Bearish
TSLA,2021,2021-08-10,237.9966735839844,217.40,219.35,Bearish
TSLA,2021,2021-08-11,237.57000732421875,217.96,219.83,Bearish
TSLA,2021,2021-08-12,235.44667053222656,218.54,220.32,Bearish
TSLA,2021,2021-08-13,241.23666381835935,219.35,220.82,Bearish
TSLA,2021,2021-08-16,235.02333068847656,220.19,221.30,Bearish
TSLA,2021,2021-08-17,224.22000122070312,220.73,221.74,Bearish
TSLA,2021,2021-08-18,223.25,221.04,222.18,Bearish
TSLA,2021,2021-08-19,226.07000732421875,221.54,222.65,Bearish
TSLA,2021,2021-08-20,227.61666870117188,222.07,223.11,Bearish
TSLA,2021,2021-08-23,228.47999572753903,222.57,223.53,Bearish
TSLA,2021,2021-08-24,236.8933258056641,223.23,224.00,Bearish
TSLA,2021,2021-08-25,235.6766662597656,223.83,224.45,Bearish
TSLA,2021,2021-08-26,236.10333251953125,224.57,224.90,Bearish
TSLA,2021,2021-08-27,235.0,225.26,225.38,Bearish
TSLA,2021,2021-08-30,238.2400054931641,225.93,225.87,Bullish
TSLA,2021,2021-08-31,244.3333282470703,226.66,226.40,Bullish
TSLA,2021,2021-09-01,244.69332885742188,227.43,226.94,Bullish
TSLA,2021,2021-09-02,244.8333282470703,228.11,227.49,Bullish
TSLA,2021,2021-09-03,244.0833282470703,228.49,227.94,Bullish
TSLA,2021,2021-09-07,246.6666717529297,228.83,228.42,Bullish
TSLA,2021,2021-09-08,253.8600006103516,229.43,228.87,Bullish
TSLA,2021,2021-09-09,251.1366729736328,229.89,229.30,Bullish
TSLA,2021,2021-09-10,253.1999969482422,230.42,229.73,Bullish
TSLA,2021,2021-09-13,246.73666381835935,230.79,230.06,Bullish
TSLA,2021,2021-09-14,247.52333068847656,231.22,230.38,Bullish
TSLA,2021,2021-09-15,248.3333282470703,231.64,230.65,Bullish
TSLA,2021,2021-09-16,250.94332885742188,232.23,230.90,Bullish
TSLA,2021,2021-09-17,252.38333129882807,233.09,231.17,Bullish
TSLA,2021,2021-09-20,244.85333251953125,233.63,231.47,Bullish
